n_kcs,turns,tau,gain,decay,readiness,noise,graph,prior,policy,fraction_mastered
12,120,0.8,0.185,0.008,1.0,0.05,chains,uniform,mta,0.3116666666666667
12,120,0.8,0.185,0.008,1.0,0.1,chains,uniform,greedy_lowest_first,0.0
12,120,0.8,0.185,0.008,1.0,0.1,chains,uniform,random_unmastered,0.01375
12,120,0.8,0.185,0.008,1.0,0.1,chains,uniform,fixed_curriculum_no_skip,0.0
12,120,0.8,0.185,0.008,1.0,0.1,chains,uniform,prereq_lowest_first_previous,0.03458333333333333
12,120,0.8,0.185,0.008,1.0,0.1,chains,uniform,filtered_curriculum_index_order,0.2733333333333334
12,120,0.8,0.185,0.008,1.0,0.1,chains,uniform,filtered_curriculum_random_topo,0.27416666666666667
12,120,0.8,0.185,0.008,1.0,0.1,chains,uniform,mta,0.30083333333333334
12,120,0.8,0.185,0.008,0.8,0.0,chains,uniform,greedy_lowest_first,0.0
12,120,0.8,0.185,0.008,0.8,0.0,chains,uniform,random_unmastered,0.010416666666666664
12,120,0.8,0.185,0.008,0.8,0.0,chains,uniform,fixed_curriculum_no_skip,0.0
12,120,0.8,0.185,0.008,0.8,0.0,chains,uniform,prereq_lowest_first_previous,0.0925
12,120,0.8,0.185,0.008,0.8,0.0,chains,uniform,filtered_curriculum_index_order,0.3154166666666666
12,120,0.8,0.185,0.008,0.8,0.0,chains,uniform,filtered_curriculum_random_topo,0.31958333333333333
12,120,0.8,0.185,0.008,0.8,0.0,chains,uniform,mta,0.3145833333333334
12,120,0.8,0.185,0.008,0.8,0.05,chains,uniform,greedy_lowest_first,0.0
12,120,0.8,0.185,0.008,0.8,0.05,chains,uniform,random_unmastered,0.005416666666666666
12,120,0.8,0.185,0.008,0.8,0.05,chains,uniform,fixed_curriculum_no_skip,0.0
12,120,0.8,0.185,0.008,0.8,0.05,chains,uniform,prereq_lowest_first_previous,0.04375
12,120,0.8,0.185,0.008,0.8,0.05,chains,uniform,filtered_curriculum_index_order,0.29833333333333334
12,120,0.8,0.185,0.008,0.8,0.05,chains,uniform,filtered_curriculum_random_topo,0.30041666666666667
12,120,0.8,0.185,0.008,0.8,0.05,chains,uniform,mta,0.3095833333333334
12,120,0.8,0.185,0.008,0.8,0.1,chains,uniform,greedy_lowest_first,0.0
